GEOID,State,Year,Type,GEO display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey,County
1220108,Florida,2023,Place,"Egypt Lake-Leto CDP, Florida",13873,2154,6742,4977,5-Year,"Hillsborough County, Florida"
1220275,Florida,2023,Place,"Elfers CDP, Florida",5564,714,3119,1731,5-Year,"Pasco County, Florida"
1220375,Florida,2023,Place,"Ellenton CDP, Florida",1927,179,760,988,5-Year,"Manatee County, Florida"
1220650,Florida,2023,Place,"El Portal village, Florida",819,31,323,465,5-Year,"Miami-Dade County, Florida"
1220825,Florida,2023,Place,"Englewood CDP, Florida",10175,748,4479,4948,5-Year,"Sarasota County, Florida"
1220925,Florida,2023,Place,"Ensley CDP, Florida",10214,1698,3595,4921,5-Year,"Escambia County, Florida"
1221150,Florida,2023,Place,"Estero village, Florida",18287,1207,4524,12556,5-Year,"Lee County, Florida"
1221250,Florida,2023,Place,"Esto town, Florida",120,24,52,44,5-Year,"Holmes County, Florida"
1221350,Florida,2023,Place,"Eustis city, Florida",9559,1374,3804,4381,5-Year,"Lake County, Florida"
1221425,Florida,2023,Place,"Everglades city, Florida",109,6,55,48,5-Year,"Collier County, Florida"
1221750,Florida,2023,Place,"Fairview Shores CDP, Florida",4613,694,1810,2109,5-Year,"Orange County, Florida"
1221850,Florida,2023,Place,"Fanning Springs city, Florida",432,86,121,225,5-Year,"Levy County, Florida"
1221945,Florida,2023,Place,"Feather Sound CDP, Florida",1683,111,442,1130,5-Year,"Pinellas County, Florida"
1222100,Florida,2023,Place,"Fellsmere city, Florida",1124,125,586,413,5-Year,"Indian River County, Florida"
1222175,Florida,2023,Place,"Fernandina Beach city, Florida",6635,647,1706,4282,5-Year,"Nassau County, Florida"
1222225,Florida,2023,Place,"Ferndale CDP, Florida",178,0,29,149,5-Year,"Lake County, Florida"
1222250,Florida,2023,Place,"Fern Park CDP, Florida",3749,429,1585,1735,5-Year,"Seminole County, Florida"
1222275,Florida,2023,Place,"Ferry Pass CDP, Florida",12688,1837,4051,6800,5-Year,"Escambia County, Florida"
1222375,Florida,2023,Place,"Fisher Island CDP, Florida",346,0,57,289,5-Year,"Miami-Dade County, Florida"
1222387,Florida,2023,Place,"Fish Hawk CDP, Florida",7860,639,1272,5949,5-Year,"Hillsborough County, Florida"
1222475,Florida,2023,Place,"Five Points CDP, Florida",338,56,157,125,5-Year,"Columbia County, Florida"
1222550,Florida,2023,Place,"Flagler Beach city, Florida",2519,263,751,1505,5-Year,"Flagler County, Florida"
1222560,Florida,2023,Place,"Flagler Estates CDP, Florida",1475,203,557,715,5-Year,"St. Johns County, Florida"
1222660,Florida,2023,Place,"Fleming Island CDP, Florida",11297,529,1614,9154,5-Year,"Clay County, Florida"
1222775,Florida,2023,Place,"Floral City CDP, Florida",2452,378,776,1298,5-Year,"Citrus County, Florida"
